"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일","거래유형","중개사소재지"
"강원도 강릉시 교동","1983","1983","0000","강릉교동롯데캐슬2단지","118.0686","202211","15","47,000","3","2009","화부산로111번길 24","","직거래","-"
"강원도 강릉시 교동","18-16","0018","0016","교동대림","59.84","202211","25","11,000","2","1997","수리골길17번길 21","","직거래","-"
"강원도 강릉시 교동","357","0357","0000","교동이-편한세상","84.7155","202211","7","40,000","12","2006","종합운동장길 92","","직거래","-"
"강원도 강릉시 교동","1780","1780","0000","부영3차","84.93","202211","18","32,000","8","2001","하슬라로 124","","중개거래","강원 강릉시"
"강원도 강릉시 남문동","183-2","0183","0002","삼익그린맨션","84.08","202211","10","21,000","5","1992","홍제로 7-17","","중개거래","강원 강릉시"
"강원도 강릉시 내곡동","127","0127","0000","남산삼익","58.74","202211","4","9,000","2","1993","남부로125번길 37","","중개거래","서울 은평구"
"강원도 강릉시 내곡동","127","0127","0000","남산삼익","58.74","202211","18","12,300","1","1993","남부로125번길 37","","중개거래","강원 강릉시"
"강원도 강릉시 내곡동","469","0469","0000","내곡동현대","59.84","202211","7","17,500","5","1998","범일로 645","","중개거래","강원 강릉시"
"강원도 강릉시 내곡동","756","0756","0000","석미모닝파크","84.3","202211","29","21,500","12","2008","남산초교길11번길 12-5","","중개거래","강원 강릉시"
"강원도 강릉시 노암동","605","0605","0000","노암3한라","59.994","202211","28","16,000","2","2000","남부로125번길 7","","직거래","-"
"강원도 강릉시 노암동","385","0385","0000","한라2","59.989","202211","25","14,700","8","1995","남부로191번길 21","","중개거래","강원 강릉시"
"강원도 강릉시 송정동","1063","1063","0000","강릉송정한신더휴","84.9955","202211","20","39,500","4","2019","경강로 2448","","중개거래","강원 강릉시"
"강원도 강릉시 송정동","110-5","0110","0005","비치소라","54.03","202211","26","11,000","2","1987","팔송길 26","","중개거래","강원 강릉시"
"강원도 강릉시 송정동","216-4","0216","0004","소라임대","56.34","202211","5","11,000","5","1985","송정길 20","","중개거래","강원 강릉시"
"강원도 강릉시 송정동","14-8","0014","0008","해변소라","24.84","202211","14","5,700","2","1988","팔송길18번길 17","","직거래","-"
"강원도 강릉시 연곡면 영진리","305-2","0305","0002","삼우그린","30.24","202211","1","5,030","6","1999","연주로 132","","중개거래","강원 강릉시"
"강원도 강릉시 연곡면 영진리","305-2","0305","0002","삼우그린","43.2","202211","1","9,000","10","1999","연주로 132","","중개거래","강원 강릉시"
"강원도 강릉시 연곡면 영진리","305-2","0305","0002","삼우그린","43.2","202211","28","8,500","4","1999","연주로 132","","중개거래","강원 강릉시"
"강원도 강릉시 연곡면 영진리","11","0011","0000","영진부영1","59.987","202211","21","16,850","4","2005","영진3길 38","","중개거래","강원 강릉시"
"강원도 강릉시 연곡면 영진리","12","0012","0000","영진부영2","59.987","202211","12","21,000","6","2005","영진3길 43","","중개거래","강원 강릉시"
"강원도 강릉시 연곡면 영진리","380","0380","0000","영진부영3","84.9157","202211","13","23,000","1","2008","영진3길 15","","직거래","-"
"강원도 강릉시 유천동","778","0778","0000","엘에이치선수촌8단지","84.77","202211","1","58,000","10","2018","선수촌로 113","","중개거래","강원 강릉시"
"강원도 강릉시 유천동","778","0778","0000","엘에이치선수촌8단지","84.77","202211","23","58,000","17","2018","선수촌로 113","","중개거래","강원 강릉시"
"강원도 강릉시 입암동","711","0711","0000","강릉더샵","74.71","202211","6","39,000","11","2014","입암로29번길 11","","중개거래","강원 강릉시"
"강원도 강릉시 입암동","92-1","0092","0001","녹원","59.85","202211","22","13,500","5","1992","월대산로 57","","중개거래","강원 강릉시"
"강원도 강릉시 입암동","210","0210","0000","이안강릉타운","84.7","202211","10","30,000","3","2006","성덕로 316-22","","중개거래","강원 강릉시"
"강원도 강릉시 입암동","685","0685","0000","입암4주공","59.8","202211","14","18,000","14","1996","성덕포남로 89","","중개거래","강원 강릉시"
"강원도 강릉시 입암동","709-1","0709","0001","입암6주공","49.62","202211","17","13,900","10","1998","성덕포남로 39","","직거래","-"
"강원도 강릉시 입암동","709-1","0709","0001","입암6주공","49.62","202211","17","13,800","3","1998","성덕포남로 39","","직거래","-"
"강원도 강릉시 입암동","709-1","0709","0001","입암6주공","49.62","202211","17","13,900","9","1998","성덕포남로 39","","직거래","-"
"강원도 강릉시 입암동","709-1","0709","0001","입암6주공","59.99","202211","29","18,800","15","1998","성덕포남로 39","","중개거래","강원 강릉시"
"강원도 강릉시 입암동","440","0440","0000","입암현대","84.904","202211","10","26,000","7","1998","용지로 19","","중개거래","강원 강릉시"
"강원도 강릉시 입암동","440","0440","0000","입암현대","84.904","202211","18","26,000","1","1998","용지로 19","","중개거래","강원 강릉시"
"강원도 강릉시 입암동","506-5","0506","0005","태평양임대","39.348","202211","15","6,000","2","1998","강변로410번길 31-5","","중개거래","강원 강릉시"
"강원도 강릉시 입암동","506-5","0506","0005","태평양임대","34.722","202211","17","6,000","9","1998","강변로410번길 31-5","","직거래","-"
"강원도 강릉시 입암동","506-5","0506","0005","태평양임대","39.348","202211","28","7,500","13","1998","강변로410번길 31-5","","중개거래","강원 강릉시"
"강원도 강릉시 주문진읍 교항리","1256","1256","0000","교항2주공","49.85","202211","5","11,300","1","2000","연주로 241-7","","중개거래","강원 강릉시"
"강원도 강릉시 주문진읍 교항리","1256","1256","0000","교항2주공","39.51","202211","15","8,500","7","2000","연주로 241-7","","중개거래","강원 강릉시"
"강원도 강릉시 주문진읍 교항리","1261","1261","0000","센텀파크디오션(1단지)","84.8819","202211","14","20,900","4","2015","매맥이윗길 15","","중개거래","강원 강릉시"
"강원도 강릉시 주문진읍 교항리","44-1","0044","0001","소훈","67.89","202211","7","8,900","1","1991","매맥이길 14-3","","중개거래","강원 강릉시"
"강원도 강릉시 주문진읍 교항리","1166-1","1166","0001","우신그린피아임대","59.98","202211","4","9,000","7","1999","보리골길 26","","직거래","-"
"강원도 강릉시 주문진읍 교항리","1166-1","1166","0001","우신그린피아임대","59.98","202211","16","8,000","4","1999","보리골길 26","","중개거래","강원 강릉시"
"강원도 강릉시 주문진읍 교항리","430-1","0430","0001","유성","49.89","202211","21","7,500","4","1991","매맥이윗길 12-4","","직거래","-"
"강원도 강릉시 주문진읍 교항리","1269","1269","0000","주문진벽산블루밍오션힐스","59.9493","202211","8","21,360","15","2021","장성로 25","","직거래","-"
"강원도 강릉시 주문진읍 교항리","21","0021","0000","주문진서희스타힐스아파트","59.8411","202211","16","28,900","17","2020","연주로 281-21","","중개거래","강원 강릉시"
"강원도 강릉시 주문진읍 주문리","1585","1585","0000","케이티레파트더블루힐","44.11","202211","1","8,000","2","2007","주문북로 147-32","","중개거래","강원 강릉시"
"강원도 강릉시 주문진읍 주문리","1585","1585","0000","케이티레파트더블루힐","44.11","202211","11","9,000","14","2007","주문북로 147-32","","중개거래","강원 강릉시"
"강원도 강릉시 지변동","334","0334","0000","덕원임대","59.961","202211","24","10,000","9","1998","죽헌길85번길 25","","직거래","-"
"강원도 강릉시 포남동","1278-182","1278","0182","강릉2","55.857","202211","7","9,800","4","1987","성덕포남로146번길 26","","중개거래","강원 강릉시"
"강원도 강릉시 포남동","422-3","0422","0003","대인4","128.25","202211","10","16,500","2","1995","강릉대로469번길 14","","직거래","-"
"강원도 강릉시 포남동","1005-248","1005","0248","동남","54.945","202211","17","8,000","5","1985","경강로2256번길 12","","직거래","-"
"강원도 강릉시 포남동","1005-253","1005","0253","동남2","54.945","202211","7","5,630","2","1986","경강로2234번길 15","","직거래","-"
"강원도 강릉시 포남동","1005-253","1005","0253","동남2","54.945","202211","8","10,500","1","1986","경강로2234번길 15","","중개거래","강원 강릉시"
"강원도 강릉시 포남동","1293-1","1293","0001","일송","59.135","202211","19","17,900","14","1995","하평3길 37","","중개거래","강원 강릉시"
"강원도 강릉시 포남동","1293-1","1293","0001","일송","59.135","202211","24","18,500","5","1995","하평3길 37","","중개거래","강원 강릉시"
"강원도 강릉시 포남동","1065","1065","0000","포남1주공","41.98","202211","11","13,000","5","1981","보래미상길 65","","직거래","-"
"강원도 강릉시 포남동","1065","1065","0000","포남1주공","41.98","202211","21","12,300","1","1981","보래미상길 65","","중개거래","강원 강릉시"
"강원도 강릉시 포남동","1200","1200","0000","포남2주공","39.69","202211","8","15,000","1","1989","산양큰길 37","","중개거래","강원 강릉시"
"강원도 강릉시 홍제동","125-1","0125","0001","미성","59.8","202211","28","9,000","1","1994","토성로 55","","직거래","-"
"강원도 강릉시 홍제동","1044","1044","0000","엘에이치미디어촌6단지","59.95","202211","6","33,000","19","2018","선수촌로 10","","중개거래","강원 강릉시"
